id,author,page,text,rate,reply_to,created_at,updated_at,user_id,category,published
169,"",safarestan,"",,,2018-07-14 06:48:20.778166,2018-07-14 06:48:20.778166,169579,2,t
170,میثم,zoraq,"",5,,2018-07-15 08:34:07.478583,2018-07-15 08:34:07.478583,11114,2,t
171,"",ata,پرواز خوب و بموقع با کارکنان مجرب و‌با اخلاق,,,2018-07-15 15:58:07.643271,2018-07-15 15:58:07.643271,174250,1,t
172,"",flightio,"",,,2018-07-15 20:06:24.37474,2018-07-15 20:06:24.37474,174485,2,t
173,علی اخوان,zoraq,امروز از زورق خریدم و مشکلی هم نداشتم. بعد از بانک بلیطم را ارسال کردند.,5,,2018-07-16 20:46:12.841157,2018-07-16 20:46:12.841157,18,2,t
174,"",ghasedak,"",3,,2018-07-16 21:58:27.353382,2018-07-16 21:58:27.353382,177586,2,t
175,"",iran-air,"",,,2018-07-19 06:40:18.651815,2018-07-19 06:40:18.651815,190460,1,t
176,"",flytoday,"",,,2018-07-19 18:44:34.491528,2018-07-19 18:44:34.491528,191266,2,t
177,سارا,aseman,من برای پرواز مشهد به شیراز روز 28 تیر 97 پرواز با آسمان داشتم. حسنش این بود که صندلیای هواپیما با هم فاصله مناسبی داشتند و خلبان ماهر بود. پرواز همونطور که احتمالش توی سایت پروازهاب قید شده بود، نیم ساعت تاخیر داشت. خلبان گفت علت تاخیر دیر کردن پرواز قبل و ترافیک هوایی فرودگاه مشهده. من و دوستم بخاطر گرمای شدید در حال تلف شدن بودیم. چند بار باتن مهماندار را زدیم. دو بار به دو تا مهماندار مختلف گفتیم آب نیاز داریم. گفتن الان میاریم! نیاوردن تا موقع پذیرایی! بعد از پذیرایی و نزدیکای رسیدن به مقصد تازه یکی از مهماندارا اومد ببینه چکار داشتیم که باتن مهماندار رو زدیم! البته الان همه پروازها مشکلات زیاد دارن ولی بد نیست مشکلات گوشزد بشن تا شاید عملکرد بهتری دیده بشه. ,2,,2018-07-20 13:02:46.207108,2018-07-20 13:02:46.207108,130840,1,t
178,سارا,zagros,روز 25 تیر 97 از شیراز به مشهد پرواز زاگرس داشتم. میشه گفت تاخیری نداشت. البته، ساعت پرواز نوشته شده توی بلیط و کارت پرواز ۵ دقیقه اختلاف داشت که برای ایران این میزان تاخیر قابل چشم پوشیه. صندلیا به هم فشرده بودن ولی چون پرواز طولانی نبود اذیت نشدم. پذیرایی مثل بیشتر پروازها ساده بود. قیمت پرواز به نسبت سایر پروازها برای اون ساعت مناسب بود. پرواز راحتی بود. قبلا هم یه پرواز با زاگرس از شیراز به تهران داشتم. اونم از همه لحاظ مثل این پرواز بود فقط ساعت حرکتشون فرق داشت. ,4,,2018-07-20 13:11:21.62529,2018-07-20 13:11:21.62529,130840,1,t
179,"",zoraq,"",,,2018-07-20 16:11:11.663499,2018-07-20 16:11:11.663499,190808,2,t
189,سعید,zagros,فقط بلدن زنارو ازک بزک کنند خلباناشون وکیفیت کارشون افتضاحه کاش بجای آرایشای اتاق خوابی یکم کیفیت کارشونو میبردن بالا,,,2018-07-26 01:48:38.22341,2018-07-26 01:48:38.22341,202478,1,t
190,علی,iran-air-tour,عالی,2,,2018-07-28 15:41:35.667595,2018-07-28 15:41:35.667595,18,1,t
191,"",flytoday,"",,,2018-07-30 10:54:48.335147,2018-07-30 10:54:48.335147,210217,2,t
192,آزاده,zagros,"از زاگرس بليط نخريد ......
يكي از بدترين تجربه هاي سفر را با زاگرس داشتم. تا لحظه آخر اعلام نكردند كه هواپيما بعلت نقص فني قابل پرواز نيست و در لحظه آخر پرواز ١٧٤ مسافر شيراز به تهران را كنسل كردند و گفتند قطعه ايي از هواپيما بايد تعمير شود بليطهاي خود را پس بدهيد. بعد از ٤ ساعت همان بليطها را به حدودا دو برابر قيمت به مسافران فروختند. اين يك دزدي علنيست و كسي پاسخگو نبود. 
",1,,2018-07-31 06:10:46.259774,2018-07-31 06:10:46.259774,214270,1,t
193,رضا شیرازیان,hipotrip,قیمتشون مثل بقیه بود. اما پشتیبانی شون خیلی خوب هوامو داشت و پی گیر بود.,5,,2018-08-03 22:31:57.920058,2018-08-03 22:31:57.920058,220848,2,t
194,منا,flightio,"",1,,2018-08-04 06:39:12.710211,2018-08-04 06:39:12.710211,221058,2,t
